Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,how long will it take to learn spanish fluently,learn spanish,,,,,140,20,3.43,0.08,178,Informational,"Site Links, Video, People Also Ask, Short Videos, AI Overview","0.17,0.10,0.43,0.43,0.28,0.35,1.00,0.12,0.35,0.28,0.12,0.17",20,,
us,how long would it take to learn spanish fluently,learn spanish,,,,,140,14,3.43,0.08,167,Informational,"Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview","0.28,0.53,0.53,0.53,0.34,0.43,0.65,0.81,0.53,0.81,1.00,0.81",20,,
us,how to learn spanish faster,learn spanish,,,,,140,28,2.23,0.64,153,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links","0.05,0.04,0.04,0.21,0.01,0.21,0.01,0.09,0.48,0.04,0.11,0.05",20,,
us,how to say i learned spanish in spanish,learn spanish,,,,,140,27,1.51,0.00,1220000000,Informational,"Instant Answer, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,how to say i want to learn spanish in spanish,learn spanish,,,,,140,24,3.41,0.03,195,Informational,"Video Carousel, People Also Ask, Related Searches, Instant Answer, Site Links, Video","0.82,0.82,0.64,1.00,0.82,1.00,0.64,0.82,0.82,1.00,0.64,0.82",20,,
us,is spanish easy to learn for english speakers,learn spanish,,,,,140,18,1.19,0.02,1090000000,Informational,"AI Overview, Site Links, Video, Related Searches","0.43,0.43,0.43,0.43,0.53,0.53,0.65,0.43,0.53,0.53,1.00,0.65",20,,
us,is spanish the easiest language to learn,learn spanish,,,,,140,18,0.00,0.01,146,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Video","0.35,0.28,0.23,0.28,0.43,0.35,0.43,0.43,0.43,0.35,1.00,0.66",20,,
us,what is the best app for learning spanish,learn spanish,,,,,140,30,3.37,0.74,402000000,Commercial,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.29,0.35,0.29,0.29,0.14,0.29,0.14,0.43,0.29,1.00,0.81,0.66",20,,
us,what language is easy to learn for spanish speakers,learn spanish,,,,,140,19,0.00,0.00,164,Informational,"Site Links, Video, Related Searches, AI Overview","1.00,0.78,0.78,1.00,0.78,1.00,1.00,1.00,1.00,1.00,0.78,1.00",20,,
us,when did eva longoria learn spanish,learn spanish,,,,,140,28,0.00,0.00,415000,Informational,"Video, Image, Related Searches, AI Overview, Site Links","0.66,1.00,0.23,0.11,0.15,0.11,0.28,0.08,0.11,0.06,0.06,0.06",20,,
us,can you learn spanish by watching tv,learn spanish,,,,,110,9,6.12,0.15,1020000000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.82,0.41,0.52,0.52,0.52,1.00,0.41,0.41,0.41,0.41,0.52,0.41",20,,
us,does listening to spanish music help you learn it,learn spanish,,,,,110,7,0.00,0.33,458000000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.42,1.00,0.34,0.34,0.42,0.65,0.26,0.07,0.53,0.34,0.65,0.26",20,,
us,how did ben rice learn spanish,learn spanish,,,,,110,20,0.00,0.33,19900000,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview, Image Pack, Site Links","0.35,0.18,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03",20,,
us,how do you say i want to learn spanish,learn spanish,,,,,110,21,3.41,0.03,152,Informational,"Instant Answer, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.52,0.82,0.64,1.00,0.41,0.64,0.82,0.82,0.82,1.00,0.64,0.82",20,,
us,how long it takes to learn spanish,learn spanish,,,,,110,12,2.23,0.12,549000000,Informational,"Related Searches, AI Overview, Site Links, Video","0.52,0.42,0.66,0.52,0.42,0.52,0.52,0.52,0.42,0.42,0.52,0.52",20,,
us,how long will it take for me to learn spanish,learn spanish,,,,,110,11,2.75,0.24,1570000000,Informational,"Video, People Also Ask, Related Searches, AI Overview, Site Links","0.52,0.66,0.42,0.52,0.42,0.52,0.52,0.66,0.52,0.80,1.00,0.80",20,,
us,how to begin learning spanish,learn spanish,,,,,110,20,1.94,0.46,165,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.66,0.66,0.66,0.52,0.33,0.42,0.80,0.33,0.33,1.00,0.80,0.52",20,,
us,is english harder to learn than spanish,learn spanish,,,,,110,22,0.00,0.00,722000000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.64,0.64,0.64,0.41,0.82,0.52,0.82,0.64,0.41,0.64,0.41,0.41",20,,
us,is spanish hard to learn for an english speaker,learn spanish,,,,,110,12,3.15,0.01,301000000,Informational,"Site Links, Video, Related Searches, AI Overview","0.42,0.66,0.66,0.42,0.33,0.66,0.80,1.00,0.66,1.00,1.00,1.00",20,,
us,is spanish or english harder to learn,learn spanish,,,,,110,20,0.00,0.00,633000000,Informational,"Video, Related Searches, AI Overview, Site Links","0.52,0.64,0.52,0.52,0.64,0.82,1.00,0.82,0.82,0.82,1.00,0.82",20,,
us,is spanish or german easier to learn,learn spanish,,,,,110,9,0.00,0.01,822000000,Informational,"Site Links, Video, Related Searches, Short Videos, AI Overview","0.82,0.64,0.52,0.52,0.82,0.64,0.64,1.00,0.41,0.82,0.64,0.64",20,,
us,what is the best program to learn spanish,learn spanish,,,,,110,29,4.90,0.90,935000000,Commercial,"AI Overview, Site Links, Video, Video Carousel, Related Searches, Discussions And Forums","0.52,0.64,0.52,0.64,0.52,0.52,0.64,0.52,0.52,0.64,0.82,0.52",20,,
us,what is the best spanish learning app,learn spanish,,,,,110,28,3.95,0.76,136,Commercial,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask","0.42,0.52,0.66,0.52,0.66,0.66,0.66,0.52,0.66,1.00,1.00,1.00",20,,
us,what is the easiest language to learn for spanish speakers,learn spanish,,,,,110,13,0.00,0.00,8700000,Informational,"Site Links, Video, Related Searches, AI Overview","0.41,0.52,0.41,0.64,0.64,0.82,0.82,0.82,0.82,1.00,0.82,0.82",20,,
us,what language is easiest to learn for spanish speakers,learn spanish,,,,,110,14,0.00,0.00,11200000,Informational,"Site Links, Video, Related Searches, AI Overview","0.52,0.82,0.64,0.52,0.52,0.64,0.82,0.82,0.82,1.00,0.64,0.82",20,,
us,what languages are easy to learn for spanish speakers,learn spanish,,,,,110,10,0.00,0.00,48400000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","1.00,0.42,0.42,0.42,0.42,0.52,0.66,0.19,0.33,0.42,0.42,0.52",20,,
us,what's the best app for learning spanish,learn spanish,,,,,110,19,3.71,0.75,1330000000,Commercial,"Site Links, Video, Adwords Bottom, Video Carousel, Related Searches, AI Overview","0.21,0.34,0.28,0.43,0.43,0.43,0.43,0.03,0.81,0.81,1.00,0.81",20,,
us,which spanish should i learn,learn spanish,,,,,110,10,11.91,0.09,1190000000,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.52,0.52,0.42,0.52,0.52,0.52,0.52,0.42,0.33,0.52,0.80,0.52",20,,
us,why is learning spanish important,learn spanish,,,,,110,14,0.00,0.01,153,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.15,0.23,0.05,0.03,0.54,0.35,0.23,0.01,0.05,0.11,0.18,0.03",20,,
us,why learn spanish language,learn spanish,,,,,110,20,0.94,0.03,1660000000,Informational,"Instant Answer, Site Links, Video, Video Carousel, Related Searches, Short Videos, Discussions And Forums, AI Overview","0.23,0.23,0.28,0.17,0.43,1.00,0.35,0.28,0.17,0.43,0.28,0.35",20,,
us,why learning spanish is important,learn spanish,,,,,110,9,0.00,0.01,156,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, People Also Ask","0.43,0.35,0.07,0.12,0.28,0.53,0.23,0.35,0.12,0.35,0.23,0.17",20,,
us,spanish vocabulary,spanish vocabulary,,,,,4400,28,1.20,0.21,107,Informational,"Video, Video Carousel, Related Searches, Image Pack","0.29,0.36,0.16,0.16,0.36,0.36,0.36,0.24,0.24,0.24,0.29,1.00",75,,
us,winter vocabulary spanish games,spanish vocabulary,,,,,2900,18,0.00,0.00,150,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","1.00,0.00,0.00,0.00",20,,
us,spanish vocabulary words,spanish vocabulary,,,,,1300,27,1.35,0.41,204000000,Informational,"Image Pack, Site Links, Video, Related Searches, AI Overview","0.16,0.19,0.12,0.05,0.19,0.23,0.16,0.12,0.16,0.16,0.12,1.00",20,,
us,spanish family vocabulary,spanish vocabulary,,,,,590,24,0.00,0.01,116000000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.48,0.59,0.39,0.14,0.32,0.59,1.00,0.72,0.72,0.72,0.88,0.59",20,,
us,spanish vocabulary quiz,spanish vocabulary,,,,,480,15,0.76,0.12,49300000,Informational,"Video Carousel, Related Searches, Site Links, Video","0.81,0.81,1.00,0.66,0.81,0.81,0.66,0.66,0.81,0.81,0.66,1.00",20,,
us,basic spanish vocabulary,spanish vocabulary,,,,,390,27,0.80,0.33,86200000,Informational,"Video, Related Searches, AI Overview","0.54,0.66,0.54,0.54,1.00,1.00,0.66,0.44,0.44,0.54,0.54,0.54",90,,
us,spanish vocabulary test,spanish vocabulary,,,,,390,9,0.76,0.12,119000000,Informational,"Adwords Bottom, Video Carousel, Related Searches, Site Links, Video","0.81,0.81,0.81,0.54,0.81,0.66,0.81,0.81,0.81,0.81,0.81,1.00",20,,
us,spanish clothing vocabulary,spanish vocabulary,,,,,390,20,0.00,0.01,18700000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.81,1.00,0.36,0.19,0.23,0.44,0.44,0.54,0.44,0.67,0.29,0.67",20,,
us,clothing spanish vocabulary,spanish vocabulary,,,,,320,16,0.00,0.01,17000000,Informational,"Video, Popular Products, Related Searches, Short Videos, Image Pack, Site Links","0.54,1.00,0.36,0.10,0.07,0.29,0.54,0.54,0.54,0.54,0.54,0.67",20,,
us,vocabulary spanish family,spanish vocabulary,,,,,390,24,0.00,0.01,111,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview, Image Pack","0.14,0.59,0.32,0.07,0.11,0.48,1.00,0.72,0.59,0.59,0.59,0.59",20,,
us,spanish food vocabulary,spanish vocabulary,,,,,320,20,0.00,0.01,68500000,Informational,"Video, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.44,0.36,0.36,0.29,0.29,0.44,0.54,0.54,0.66,0.23,1.00,1.00",20,,
us,clothes spanish vocabulary,spanish vocabulary,,,,,260,15,0.00,0.01,15000000,Informational,"Image Pack, Video, Video Carousel, Related Searches, AI Overview","0.23,0.81,0.28,0.18,0.28,0.18,0.81,0.66,0.81,1.00,1.00,0.81",90,,
us,spanish 1 vocabulary,spanish vocabulary,,,,,260,10,1.05,0.10,184000000,Informational,"Image Pack, Site Links, Video, Related Searches","0.43,1.00,0.43,0.35,1.00,0.81,0.35,0.43,0.66,0.54,0.54,0.43",20,,
us,spanish language food vocabulary,spanish vocabulary,,,,,260,16,0.00,0.01,111,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview, Site Links","0.54,0.67,0.36,0.10,0.07,0.23,0.29,0.44,0.54,0.54,0.81,1.00",20,,
us,spanish vocabulary for family,spanish vocabulary,,,,,260,22,0.00,0.01,117000000,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches, AI Overview","0.21,0.26,0.14,0.04,0.11,0.21,1.00,0.72,0.11,0.00,0.00,0.59",20,,
us,spanish vocabulary games,spanish vocabulary,,,,,260,14,1.22,0.14,135000000,Informational,"Site Links, Video, Video Carousel, Related Searches","0.54,0.54,0.66,0.54,0.54,0.54,0.81,0.54,0.35,0.54,0.81,0.43",20,,
us,vocabulary food in spanish,spanish vocabulary,,,,,260,22,0.00,0.01,122,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Site Links","0.54,0.67,0.36,0.10,0.07,0.23,0.29,0.44,0.54,0.00,0.81,1.00",20,,
us,spanish house vocabulary,spanish vocabulary,,,,,210,20,0.00,0.01,126,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches","0.65,1.00,0.53,0.28,0.34,0.53,0.65,0.65,0.65,0.81,0.53,1.00",20,,
us,spanish two vocabulary,spanish vocabulary,,,,,210,14,1.17,0.02,74100000,Informational,"Image Pack, Video, People Also Ask, Related Searches","0.15,1.00,0.35,0.08,0.23,0.66,0.44,0.44,0.23,0.54,0.35,0.44",90,,
us,spanish vocabulary for clothing,spanish vocabulary,,,,,210,16,0.00,0.01,17000000,Informational,"AI Overview, Image Pack, Site Links, Video, Video Carousel, Related Searches","0.18,0.43,0.66,0.18,0.14,0.29,1.00,1.00,0.54,1.00,0.29,0.66",20,,
us,medical spanish vocabulary,spanish vocabulary,,,,,480,22,1.20,0.57,126,Informational,"Video, Related Searches, AI Overview","0.11,0.24,0.13,0.11,0.20,0.20,0.34,0.16,0.13,0.44,0.08,0.13",90,,
us,spanish 2 vocabulary,spanish vocabulary,,,,,320,20,1.17,0.02,103,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches","0.18,1.00,0.54,0.18,0.66,0.81,0.66,0.54,0.81,0.44,0.44,0.44",90,,
us,family spanish vocabulary,spanish vocabulary,,,,,260,28,0.00,0.01,123,Informational,"Image Pack, Video, Video Carousel, Related Searches, AI Overview","0.72,0.48,0.17,0.07,0.11,0.21,1.00,0.07,0.09,0.02,0.00,0.11",90,,
us,family in spanish vocabulary,spanish vocabulary,,,,,210,29,0.00,0.01,120000000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Instant Answer, Image Pack","0.23,1.00,0.54,0.11,0.18,0.81,0.23,0.11,0.18,1.00,0.28,0.66",20,,
us,spanish vocabulary lists,spanish vocabulary,,,,,210,24,1.43,0.28,175000000,Informational,"Image Pack, Site Links, Video, Related Searches","0.19,0.36,0.12,0.36,0.15,0.36,0.29,0.09,0.15,0.19,0.44,0.15",20,,
us,spanish weather vocabulary,spanish vocabulary,,,,,210,16,0.00,0.05,105,Informational,"Related Searches, AI Overview, Image Pack, Video, Video Carousel","0.53,1.00,0.43,0.23,0.53,0.82,0.82,0.66,0.66,0.66,0.53,0.66",90,,
us,weather spanish vocabulary,spanish vocabulary,,,,,210,16,0.00,0.05,24600000,Informational,"Video Carousel, Related Searches, AI Overview, Video","0.81,1.00,0.53,0.21,0.53,1.00,0.53,0.81,0.81,0.81,0.65,0.81",90,,
us,clothes vocabulary spanish,spanish vocabulary,,,,,170,18,0.00,0.01,13300000,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos","1.00,1.00,0.35,0.22,0.22,0.22,0.35,0.29,0.29,0.35,0.35,0.66",20,,
us,games for spanish vocabulary,spanish vocabulary,,,,,170,24,1.22,0.14,178,Informational,"Site Links, Video, Related Searches, AI Overview","0.18,0.43,0.66,0.35,0.22,0.43,0.54,0.54,0.54,1.00,1.00,0.66",20,,
us,spanish clothes vocabulary,spanish vocabulary,,,,,170,10,0.00,0.01,15300000,Informational,"Video, Image, Related Searches, AI Overview","1.00,1.00,0.14,0.10,0.08,0.29,0.18,0.22,0.22,0.22,0.29,0.66",90,,
us,spanish household vocabulary,spanish vocabulary,,,,,170,17,0.00,0.01,96000000,Informational,"Video Carousel, Related Searches, AI Overview, Image Pack, Site Links, Video","0.81,1.00,0.43,0.28,0.28,0.65,0.65,0.53,0.65,0.65,0.43,0.81",20,,
us,spanish travel vocabulary,spanish vocabulary,,,,,170,12,0.89,0.17,44900000,Informational,"Image Pack, Video, Video Carousel, Related Searches, Short Videos, AI Overview","0.65,1.00,0.43,0.43,0.53,0.53,0.65,0.53,0.53,0.53,0.53,0.65",90,,
us,spanish vocabulary for clothes,spanish vocabulary,,,,,170,10,0.00,0.01,16100000,Informational,"Related Searches, AI Overview, Video, Image, Video Carousel","0.04,1.00,0.36,0.10,0.07,0.15,0.12,0.03,0.15,0.54,0.29,0.29",90,,
us,spanish vocabulary for food,spanish vocabulary,,,,,170,17,0.00,0.01,117,Informational,"Site Links, Video, Video Carousel, Related Searches, Short Videos, AI Overview","0.07,0.07,0.36,0.10,0.07,0.23,0.29,0.44,0.15,0.01,0.81,1.00",20,,
us,spanish vocabulary quizlet,spanish vocabulary,,,,,170,23,2.49,0.04,1230000,"Navigational, Transactional","Questions And Answers, Video, Related Searches","1.00,0.80,0.53,0.42,0.26,0.80,0.34,0.34,0.53,1.00,0.80,0.65",90,,
us,advanced spanish vocabulary,spanish vocabulary,,,,,140,13,1.79,0.41,129000000,Informational,"Site Links, Video, Video Carousel, Related Searches","0.65,0.80,0.42,0.34,0.53,0.65,0.65,0.42,0.53,0.65,0.53,0.65",20,,
us,food vocabulary spanish,spanish vocabulary,,,,,140,19,0.00,0.01,116,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.23,0.81,0.06,0.06,0.29,0.12,0.12,0.09,0.15,0.09,1.00,0.29",20,,
us,home vocabulary spanish,spanish vocabulary,,,,,140,18,0.00,0.01,120000000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.28,1.00,0.43,0.12,0.21,0.34,0.53,0.65,0.53,0.81,0.43,0.81",20,,
us,spanish kitchen vocabulary,spanish vocabulary,,,,,140,12,0.00,0.02,11700000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Image, Video Carousel","0.35,0.22,0.18,0.22,0.18,0.22,0.22,0.18,0.22,0.22,0.29,0.29",20,,
us,spanish restaurant vocabulary,spanish vocabulary,,,,,140,20,0.00,0.01,14600000,Informational,"Related Searches, Site Links, Video","0.80,1.00,0.42,0.19,0.26,0.42,0.42,0.42,0.53,0.65,0.65,0.80",20,,
us,spanish vocabulary app,spanish vocabulary,,,,,140,27,2.69,0.68,61600000,Informational,"Related Searches, Discussions And Forums, AI Overview, Carousel, Site Links, Video, People Also Ask","0.29,0.35,0.22,0.35,0.18,0.18,0.29,0.18,0.14,0.54,0.66,0.22",20,,
us,spanish vocabulary clothing,spanish vocabulary,,,,,140,9,0.00,0.01,171,Informational,"Image Pack, Site Links, Video, Popular Products, Related Searches, AI Overview","0.29,1.00,0.35,0.22,0.18,0.22,0.35,0.29,0.29,0.35,0.35,0.66",20,,
us,spanish vocabulary for beginners,spanish vocabulary,,,,,140,29,1.23,0.72,182000000,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.53,0.42,0.53,0.53,0.80,0.65,0.80,0.65,0.53,0.53,0.65,0.80",90,,
us,spanish vocabulary for weather,spanish vocabulary,,,,,140,18,0.00,0.05,26200000,Informational,"Image Pack, Video, Video Carousel, Related Searches, AI Overview","0.34,1.00,0.43,0.12,0.21,0.65,0.65,0.65,0.81,0.81,0.53,0.81",90,,
us,spanish vocabulary home,spanish vocabulary,,,,,140,14,0.00,0.01,116000000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.28,1.00,0.43,0.12,0.21,0.34,0.53,0.65,0.53,0.81,0.43,0.81",20,,
us,spanish vocabulary pdf,spanish vocabulary,,,,,140,19,1.15,0.27,93200000,Informational,"Related Searches, Site Links, Video","0.42,0.53,0.53,0.42,0.65,0.53,0.53,0.42,0.42,0.53,0.42,0.42",20,,
us,vocabulary food spanish,spanish vocabulary,,,,,140,19,0.00,0.01,105,Informational,"Image, Video Carousel, Related Searches, AI Overview, Image Pack, Site Links, Video","0.06,0.11,0.54,0.15,0.35,0.15,0.18,0.23,0.44,0.00,1.00,0.44",20,,
us,vocabulary of food in spanish,spanish vocabulary,,,,,140,16,0.00,0.01,64,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.00,0.00,0.00,0.10,0.07,0.23,0.29,0.44,0.54,0.00,0.81,1.00",20,,
us,how do you say vocabulary in spanish,spanish vocabulary,,,,,110,18,0.00,0.00,130000000,Informational,"Related Searches, AI Overview, Video, Video Carousel, People Also Ask","0.33,0.42,0.33,0.23,0.52,1.00,0.80,0.80,0.66,0.80,0.80,0.66",90,,
us,how to say vocabulary in spanish,spanish vocabulary,,,,,110,18,0.00,0.00,151000000,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.33,0.42,0.33,0.23,0.52,1.00,0.66,0.66,0.66,0.66,0.52,0.52",90,,
us,kitchen spanish vocabulary,spanish vocabulary,,,,,110,12,0.00,0.02,108,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.28,0.34,0.15,0.21,0.21,0.28,0.21,0.21,0.21,0.28,0.43,0.28",20,,
us,legal spanish vocabulary,spanish vocabulary,,,,,110,24,1.41,0.02,82800000,Informational,"Site Links, Video, People Also Ask, Related Searches","0.65,0.65,0.65,0.21,0.34,0.28,0.65,0.00,0.28,0.81,0.65,1.00",20,,
us,spanish classroom vocabulary,spanish vocabulary,,,,,110,21,0.00,0.01,32900000,Informational,"Video, Featured Snippet, People Also Ask, Related Searches, Image Pack","0.21,0.28,0.21,0.15,0.34,1.00,0.65,0.34,0.43,0.28,0.34,0.34",80,,
us,spanish legal vocabulary,spanish vocabulary,,,,,110,26,0.00,0.32,123,Informational,"Site Links, Video, Video Carousel, Related Searches, Short Videos","0.42,0.80,0.80,0.42,0.42,0.34,0.42,0.19,0.07,0.07,0.07,0.07",20,,
us,spanish sports vocabulary,spanish vocabulary,,,,,110,15,0.00,0.00,65300000,Informational,"Related Searches, AI Overview, Site Links, Video, Video Carousel","0.66,0.52,0.33,0.23,0.33,0.52,0.52,0.66,0.52,0.66,0.66,0.80",20,,
us,spanish vocabulary for house,spanish vocabulary,,,,,110,22,0.00,0.01,125,Informational,"Video, Image, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.42,1.00,0.42,0.15,0.34,0.42,0.34,0.19,0.26,1.00,0.42,0.80",20,,
us,spanish vocabulary game,spanish vocabulary,,,,,110,25,1.22,0.14,99600000,Informational,"Site Links, Video, Video Carousel, Related Searches","0.26,0.53,0.53,0.42,0.42,0.42,0.53,0.19,1.00,0.42,0.53,0.42",20,,
us,spanish vocabulary kitchen,spanish vocabulary,,,,,110,15,0.00,0.02,17200000,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches, AI Overview","0.35,0.35,0.23,0.23,0.17,0.17,0.28,0.28,0.23,0.23,0.23,0.28",20,,
us,spanish vocabulary notebook,spanish vocabulary,,,,,110,13,0.00,0.05,6510000,"Informational, Commercial","Video Carousel, Popular Products, AI Overview, Image Pack, Site Links, Video","0.08,0.10,0.03,0.03,0.08,0.08,0.13,0.16,0.13,0.16,0.16,0.24",20,,
